breaks, ancestry
0.0,0.613
821.0,0.613
1254.0,0.616
1995.0,0.613
3387.0,0.614
6604.0,0.614
7638.0,0.614
24036.0,0.616
26405.0,0.589
36451.0,0.5985
43492.0,0.5905
46102.0,0.591
47182.0,0.609
54095.0,0.599
57266.0,0.5585
58328.0,0.556
66378.0,0.556
75946.0,0.553
81924.0,0.553
86382.0,0.553
97320.0,0.556
98455.0,0.5505
100168.0,0.551
106767.0,0.551
126933.0,0.551
129189.0,0.551
153171.0,0.537
156787.0,0.58
163672.0,0.59
172509.0,0.59
179321.0,0.59
190804.0,0.593
194732.0,0.593
202929.0,0.5925
211323.0,0.5925
212447.0,0.594
212923.0,0.5935
216713.0,0.576
219399.0,0.576
233303.0,0.577
243681.0,0.577
246001.0,0.577
254665.0,0.5805
262809.0,0.5845
267784.0,0.585
278814.0,0.591
300586.0,0.591
302700.0,0.6005
304408.0,0.6005
305228.0,0.6005
308492.0,0.6005
309517.0,0.6005
316663.0,0.6005
320821.0,0.6005
320906.0,0.598
322891.0,0.598
331752.0,0.598
335044.0,0.5975
342036.0,0.5975
342566.0,0.5985
345663.0,0.5985
346145.0,0.5985
348883.0,0.5935
365485.0,0.5935
374458.0,0.5935
375156.0,0.5935
379335.0,0.5935
383271.0,0.5935
385003.0,0.5935
387614.0,0.5935
389531.0,0.5935
393503.0,0.595
401018.0,0.595
405770.0,0.595
411061.0,0.595
412765.0,0.595
424453.0,0.5785
446431.0,0.5785
454811.0,0.5785
456672.0,0.5775
465424.0,0.5775
470054.0,0.5775
472469.0,0.5775
477370.0,0.578
480526.0,0.578
485314.0,0.578
489718.0,0.574
494525.0,0.574
502134.0,0.574
522145.0,0.575
529023.0,0.575
530356.0,0.575
532176.0,0.5935
544503.0,0.589
547888.0,0.589
567226.0,0.589
568449.0,0.589
575951.0,0.589
584098.0,0.589
587105.0,0.589
597403.0,0.589
606244.0,0.5895
608252.0,0.5895
610870.0,0.5895
616820.0,0.593
618100.0,0.5915
635947.0,0.5845
642273.0,0.5845
647341.0,0.5845
652021.0,0.5845
652258.0,0.5845
652805.0,0.5845
663197.0,0.584
668207.0,0.584
671624.0,0.5855
678763.0,0.5845
678814.0,0.5845
685028.0,0.5845
685121.0,0.598
686409.0,0.602
700908.0,0.602
705812.0,0.602
726176.0,0.591
726296.0,0.589
730891.0,0.589
731368.0,0.589
757924.0,0.589
784447.0,0.589
789271.0,0.627
806389.0,0.6305
809923.0,0.6305
812067.0,0.642
812451.0,0.642
820709.0,0.642
836666.0,0.6455
837541.0,0.643
838929.0,0.6325
839621.0,0.6325
841351.0,0.6325
849357.0,0.633
872782.0,0.5305
875594.0,0.5305
884258.0,0.5325
886018.0,0.5315
894411.0,0.531
894799.0,0.531
901767.0,0.5325
906601.0,0.5325
908370.0,0.5325
922904.0,0.5325
923995.0,0.401
924985.0,0.398
927432.0,0.394
930005.0,0.395
932590.0,0.395
940436.0,0.395
945002.0,0.395
945216.0,0.395
946439.0,0.395
949825.0,0.393
950901.0,0.393
952948.0,0.514
956839.0,0.5135
961075.0,0.5135
961322.0,0.5135
962276.0,0.5135
970833.0,0.512
973070.0,0.506
973139.0,0.506
976041.0,0.509
978212.0,0.5085
978598.0,0.515
980195.0,0.5115
988411.0,0.509
994655.0,0.5125
1001454.0,0.513
1014766.0,0.6235
1020782.0,0.6235
1025544.0,0.623
1033648.0,0.622
1035222.0,0.62
1044678.0,0.62
1048994.0,0.5665
1052517.0,0.5665
1059390.0,0.566
1060147.0,0.5555
1062760.0,0.5555
1066744.0,0.5555
1066825.0,0.552
1067967.0,0.552
1070316.0,0.5225
1074287.0,0.5305
1096444.0,0.5365
1098499.0,0.5395
1099898.0,0.5395
1107164.0,0.556
1110316.0,0.5535
1120808.0,0.5535
1126773.0,0.553
1126788.0,0.557
1143014.0,0.562
1144243.0,0.562
1146429.0,0.562
1147563.0,0.562
1147842.0,0.562
1152722.0,0.562
1154879.0,0.5615
1156904.0,0.5615
1157305.0,0.5615
1157598.0,0.563
1161780.0,0.559
1167492.0,0.559
1175514.0,0.559
1176311.0,0.56
1179444.0,0.5685
1182216.0,0.5685
1189800.0,0.568
1198406.0,0.568
1204787.0,0.5595
1210120.0,0.5595
1211124.0,0.5595
1212351.0,0.566
1214064.0,0.582
1223781.0,0.582
1224433.0,0.594
1234032.0,0.594
1241407.0,0.6
1246473.0,0.6
1247931.0,0.592
1252122.0,0.605
1271123.0,0.6055
1275742.0,0.6055
1283991.0,0.6055
1286087.0,0.6055
1288698.0,0.6055
1289383.0,0.4785
1290288.0,0.4785
1292081.0,0.479
1300224.0,0.479
1302119.0,0.479
1307686.0,0.479
1313126.0,0.4845
1313855.0,0.4845
1314430.0,0.4735
1315347.0,0.4735
1323491.0,0.4735
1332625.0,0.4735
1333317.0,0.4735
1335923.0,0.472
1337470.0,0.472
1339090.0,0.472
1349081.0,0.4725
1355711.0,0.4725
1355874.0,0.4725
1360860.0,0.473
1363265.0,0.473
1367006.0,0.4735
1371343.0,0.4745
1372965.0,0.487
1378466.0,0.487
1396034.0,0.4855
1399064.0,0.5205
1400880.0,0.5205
1405802.0,0.5205
1407925.0,0.5205
1412850.0,0.52
1427294.0,0.518
1428864.0,0.518
1436233.0,0.5195
1442546.0,0.5235
1449039.0,0.52
1450546.0,0.52
1464231.0,0.5195
1470163.0,0.52
1473778.0,0.5205
1478327.0,0.5205
1481048.0,0.5205
1483316.0,0.5205
1484955.0,0.5215
1503530.0,0.519
1503654.0,0.519
1503783.0,0.525
1511477.0,0.522
1516909.0,0.514
1519785.0,0.514
1521911.0,0.5145
1526569.0,0.5145
1544717.0,0.5145
1546386.0,0.512
1565071.0,0.51
1567199.0,0.51
1572137.0,0.51
1577807.0,0.512
1580952.0,0.5115
1596590.0,0.513
1597236.0,0.5155
1605699.0,0.5165
1606689.0,0.5165
1606696.0,0.5165
1606773.0,0.519
1609974.0,0.5195
1613070.0,0.5195
1613379.0,0.5195
1616289.0,0.5195
1617418.0,0.5195
1620545.0,0.4975
1623232.0,0.507
1624906.0,0.507
1626561.0,0.507
1628169.0,0.5055
1628834.0,0.5055
1628946.0,0.5055
1630856.0,0.5055
1634386.0,0.5125
1635699.0,0.5125
1644096.0,0.5125
1658190.0,0.52
1658662.0,0.52
1659639.0,0.52
1664728.0,0.52
1668606.0,0.52
1674239.0,0.523
1683581.0,0.523
1697109.0,0.523
1697840.0,0.5265
1701822.0,0.5265
1709453.0,0.4385
1710364.0,0.384
1711050.0,0.381
1712381.0,0.3265
1719697.0,0.3235
1721318.0,0.3365
1723901.0,0.3365
1726310.0,0.3365
1728504.0,0.327
1729793.0,0.3275
1755236.0,0.3275
1765531.0,0.327
1771853.0,0.314
1777142.0,0.314
1784310.0,0.3155
1785584.0,0.3155
1796444.0,0.2975
1797543.0,0.2975
1798278.0,0.2975
1799712.0,0.2975
1813802.0,0.2975
1822584.0,0.247
1836358.0,0.247
1844113.0,0.247
1857755.0,0.247
1860230.0,0.2505
1861189.0,0.2505
1862320.0,0.264
1862891.0,0.2605
1865013.0,0.2605
1865984.0,0.2605
1867099.0,0.2605
1870391.0,0.2605
1870909.0,0.256
1879454.0,0.256
1887347.0,0.256
1897543.0,0.256
1919120.0,0.256
1927422.0,0.256
1953479.0,0.228
1958283.0,0.228
1963428.0,0.237
1974351.0,0.237
2003891.0,0.237
2014573.0,0.235
2021254.0,0.235
2021778.0,0.235
2022298.0,0.235
2026027.0,0.235
2040390.0,0.239
2042296.0,0.2445
2045126.0,0.2445
2053269.0,0.2445
2067280.0,0.2445
2069103.0,0.262
2071477.0,0.263
2078934.0,0.282
2080210.0,0.282
2080312.0,0.282
2099519.0,0.282
2103013.0,0.2875
2110703.0,0.2875
2111106.0,0.2875
2120330.0,0.297
2123491.0,0.2935
2130611.0,0.2935
2130650.0,0.2935
2132774.0,0.2935
2140060.0,0.3275
2145679.0,0.3275
2149597.0,0.278
2156506.0,0.2725
2157992.0,0.2725
2163601.0,0.2725
2163739.0,0.2745
2169825.0,0.294
2171920.0,0.2935
2172172.0,0.2935
2178970.0,0.2935
2182244.0,0.295
2189283.0,0.295
2193927.0,0.295
2194482.0,0.295
2200906.0,0.295
2208941.0,0.277
2210779.0,0.277
2212601.0,0.277
2215256.0,0.277
2221281.0,0.2775
2222895.0,0.2775
2248961.0,0.2775
2249187.0,0.3865
2250064.0,0.3885
2266023.0,0.3885
2269698.0,0.387
2269906.0,0.3865
2271999.0,0.3735
2284031.0,0.3735
2285924.0,0.3735
2286994.0,0.3695
2291838.0,0.3695
2295923.0,0.3695
2296370.0,0.3695
2303787.0,0.3695
2304001.0,0.3695
2305873.0,0.3695
2307696.0,0.3695
2307789.0,0.3695
2331851.0,0.369
2335567.0,0.3655
2337554.0,0.3715
2364935.0,0.3735
2368242.0,0.3775
2373851.0,0.3775
2381964.0,0.3775
2389153.0,0.4265
2392084.0,0.4265
2400617.0,0.4285
2410377.0,0.4285
2418044.0,0.428
2419214.0,0.428
2419255.0,0.428
2425870.0,0.4235
2428557.0,0.426
2435396.0,0.4745
2443108.0,0.475
2443615.0,0.4745
2465838.0,0.4745
2466970.0,0.481
2467919.0,0.481
2469908.0,0.481
2486531.0,0.481
2496760.0,0.481
2508121.0,0.481
2521989.0,0.482
2528989.0,0.482
2531479.0,0.4825
2544031.0,0.485
2546204.0,0.488
2546849.0,0.4885
2548863.0,0.4885
2555407.0,0.4885
2556538.0,0.4895
2557117.0,0.489
2563338.0,0.458
2569592.0,0.4595
2605542.0,0.46
2610191.0,0.4525
2626383.0,0.4795
2626389.0,0.4925
2634226.0,0.495
2635013.0,0.484
2652959.0,0.4855
2658786.0,0.4855
2660139.0,0.4855
2661224.0,0.499
2664676.0,0.4985
2674877.0,0.498
2677961.0,0.4975
2678804.0,0.4975
2689473.0,0.4975
2699241.0,0.4975
2699858.0,0.506
2707175.0,0.506
2709770.0,0.506
2710080.0,0.506
2715911.0,0.5055
2717366.0,0.507
2722333.0,0.5075
2731714.0,0.5075
2732099.0,0.5075
2741321.0,0.5075
2742762.0,0.509
2765024.0,0.509
2768129.0,0.534
2769273.0,0.534
2776279.0,0.54
2779552.0,0.54
2784803.0,0.54
2788183.0,0.54
2789959.0,0.5395
2793639.0,0.4995
2794440.0,0.4995
2801178.0,0.5005
2810597.0,0.5005
2814029.0,0.4995
2815473.0,0.4995
2816552.0,0.4985
2822887.0,0.503
2822929.0,0.503
2851187.0,0.503
2861365.0,0.503
2863756.0,0.503
2865377.0,0.542
2874953.0,0.542
2876788.0,0.54
2883080.0,0.539
2894929.0,0.5405
2902780.0,0.5405
2907616.0,0.5405
2910861.0,0.5405
2923756.0,0.5405
2924100.0,0.5405
2926433.0,0.5405
2932953.0,0.5405
2933870.0,0.5405
2935198.0,0.5425
2941323.0,0.5425
2942437.0,0.5425
2943478.0,0.529
2953870.0,0.529
2955334.0,0.53
2961433.0,0.5295
2967274.0,0.5295
2970527.0,0.5765
2977649.0,0.5765
2986219.0,0.5765
2987810.0,0.5765
2989207.0,0.5765
2989450.0,0.5665
3009078.0,0.567
3011377.0,0.5665
3018482.0,0.5665
3022722.0,0.5665
3034956.0,0.5665
3035675.0,0.5655
3037597.0,0.5655
3037865.0,0.536
3038443.0,0.534
3046163.0,0.5365
3047479.0,0.5355
3048187.0,0.5355
3055965.0,0.5355
3058521.0,0.536
3058768.0,0.546
3058871.0,0.546
3061578.0,0.546
3062891.0,0.557
3068378.0,0.557
3068551.0,0.557
3074216.0,0.5665
3083832.0,0.5505
3084783.0,0.5505
3085067.0,0.558
3091475.0,0.557
3104826.0,0.543
3112480.0,0.543
3114486.0,0.543
3120038.0,0.543
3121112.0,0.543
3124238.0,0.551
3125808.0,0.5505
3126610.0,0.5505
3131491.0,0.55
3132543.0,0.5505
3147854.0,0.544
3160164.0,0.544
3160253.0,0.5445
3165529.0,0.552
3174500.0,0.552
3179907.0,0.552
3192113.0,0.5525
3197475.0,0.5525
3205777.0,0.595
3210421.0,0.595
3215588.0,0.595
3220259.0,0.595
3221768.0,0.5955
3234199.0,0.5955
3234282.0,0.5955
3241993.0,0.5955
3245919.0,0.599
3253953.0,0.599
3260194.0,0.599
3260634.0,0.5985
3266689.0,0.5985
3267123.0,0.599
3269469.0,0.5875
3269884.0,0.587
3270672.0,0.586
3278140.0,0.5875
3283507.0,0.5875
3304246.0,0.5875
3306759.0,0.616
3325329.0,0.6165
3325697.0,0.618
3326129.0,0.5935
3327789.0,0.594
3331168.0,0.594
3334137.0,0.5945
3334772.0,0.5945
3342656.0,0.5945
3352489.0,0.613
3359689.0,0.6135
3389831.0,0.613
3394999.0,0.613
3395312.0,0.598
3397669.0,0.5975
3403537.0,0.5975
3405595.0,0.5965
3407353.0,0.5965
3408922.0,0.612
3412379.0,0.612
3415774.0,0.612
3422370.0,0.612
3426320.0,0.6115
3426481.0,0.6115
3431391.0,0.6115
3444107.0,0.612
3453998.0,0.61
3457837.0,0.61
3458997.0,0.604
3463316.0,0.604
3466920.0,0.6085
3467865.0,0.6085
3469619.0,0.6085
3481182.0,0.607
3484593.0,0.6055
3493605.0,0.606
3498072.0,0.6055
3508798.0,0.585
3509236.0,0.586
3518505.0,0.586
3519165.0,0.585
3523886.0,0.586
3529776.0,0.586
3538682.0,0.575
3556190.0,0.574
3556698.0,0.574
3561416.0,0.574
3563046.0,0.5765
3574481.0,0.5755
3597811.0,0.576
3600523.0,0.576
3601079.0,0.577
3607431.0,0.576
3614527.0,0.5755
3617122.0,0.5755
3622274.0,0.5755
3622383.0,0.5735
3629892.0,0.5735
3630940.0,0.5755
3635804.0,0.575
3636525.0,0.5745
3654466.0,0.5745
3658848.0,0.5755
3660007.0,0.564
3664481.0,0.5635
3670612.0,0.5635
3676276.0,0.5635
3679926.0,0.564
3682606.0,0.5645
3687622.0,0.5555
3688532.0,0.5555
3707987.0,0.5765
3709546.0,0.576
3711828.0,0.6045
3716478.0,0.6255
3723277.0,0.6255
3726461.0,0.6255
3731306.0,0.6255
3739462.0,0.626
3743741.0,0.601
3790472.0,0.6035
3795201.0,0.604
3812310.0,0.5995
3814333.0,0.5995
3819435.0,0.5995
3820723.0,0.5995
3837874.0,0.5995
3841752.0,0.5995
3844234.0,0.6245
3849191.0,0.6245
3870145.0,0.6245
3876211.0,0.626
3877686.0,0.626
3884419.0,0.611
3891842.0,0.614
3897181.0,0.6125
3901628.0,0.6125
3905922.0,0.62
3910246.0,0.62
3911760.0,0.62
3918819.0,0.62
3920005.0,0.6035
3926537.0,0.6025
3926545.0,0.6025
3956571.0,0.6025
3957824.0,0.6025
3958395.0,0.6025
3960077.0,0.6025
3961070.0,0.6025
3962924.0,0.5995
3973829.0,0.613
3978843.0,0.6135
3979503.0,0.6145
3985900.0,0.6145
